Link,Direction,Quantity,,"Max",,Alfalfa,Facetime,Skype,Hangout,TCP Vegas,LEDBAT,Compound TCP,,,,Compound-over-CoDel,"Sprout (5% loss)","Sprout (10% loss)","Sprout-EWMA",Linux TCP,CUBIC-over-CoDel
Version,,,,,,latest,"2.0 (1070) on OS X 10.8.1","5.10.0.116 on Windows 7","9/17/2012 on Chrome 21.0.1180.89 m","Ubuntu Linux 3.2.0-29-generic","snapshot 5/26/2012","Windows 7 SP1",,,,,,,,,
"Verizon LTE",Downlink,Throughput,,8984,,4533,1069,906,442,2651,2906,1968,,,,2032,3796,2646,7087,5468,5007
,,Delay,,92,,165,1713,1252,456,307,405,441,,,,332,152,150,300,7660,321
,,"Self-inflicted delay",,0,,73,1621,1160,364,215,313,349,,,,240,60,58,208,7568,229
,Uplink,Throughput,,5906,,3540,945,930,300,2521,2881,1916,,,,1962,2484,1112,4762,1334,3420
,,Delay,,203,,535,3672,6827,3065,928,878,1980,,,,745,581,517,983,13262,772
,,"Self-inflicted delay",,0,,332,3469,6624,2862,725,675,1777,,,,542,378,314,780,13059,569
,,,,,,,,,,,,,,,,,,,,,
"Verizon 3G (1xEV-DO)",Downlink,Throughput,,511,,197,174,148,153,283,351,364,,,,,,,380,491,278
,,Delay,,911,,2198,7965,4945,10185,2682,2298,6409,,,,,,,2519,98542,1629
,,"Self-inflicted delay",,0,,1287,7054,4034,9274,1771,1387,5498,,,,,,,1608,97631,718
,Uplink,Throughput,,795,,225,308,353,216,294,448,246,,,,,,,592,157,423
,,Delay,,488,,687,4153,4895,2449,1482,1741,1263,,,,,,,843,12867,1463
,,"Self-inflicted delay",,0,,199,3665,4407,1961,994,1253,775,,,,,,,355,12379,975
,,,,,,,,,,,,,,,,,,,,,
"AT&T LTE",Downlink,Throughput,,4795,,2128,1051,681,402,946,912,868,,,,,,,3531,1116,2871
,,Delay,,69,,121,578,394,104,266,323,357,,,,,,,230,5495,267
,,"Self-inflicted delay",,0,,52,509,325,35,197,254,288,,,,,,,161,5426,198
,Uplink,Throughput,,853,,381,406,396,238,640,779,683,,,,,,,796,777,647
,,Delay,,187,,314,1325,1445,707,561,1064,1423,,,,,,,537,24449,512
,,"Self-inflicted delay",,0,,127,1138,1258,520,374,877,1236,,,,,,,350,24262,325
,,,,,,,,,,,,,,,,,,,,,
"T-Mobile 3G (UMTS)",Downlink,Throughput,,1951,,635,432,444,220,712,730,712,,,,,,,1496,624,1185
,,Delay,,404,,735,3047,1988,2481,903,973,1876,,,,,,,891,8754,793
,,"Self-inflicted delay",,0,,331,2643,1584,2077,499,569,1472,,,,,,,487,8350,389
,Uplink,Throughput,,907,,346,425,299,248,648,794,568,,,,,,,779,907,645
,,Delay,,278,,414,2195,1039,1413,829,2053,1104,,,,,,,530,32918,854
,,"Self-inflicted delay",,0,,136,1917,761,1135,551,1775,826,,,,,,,252,32640,576
